,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,
Topic: Employment,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Employed Female Residents Aged 15 Years And Over By Occupation And Age Group, (June), Annual",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 28/01/2025,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Thousand
Employed Female Residents Aged 25 - 29 Years -> Others (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,
Includes Agricultural & Fishery Workers and Workers Not Elsewhere Classified.,,,,,,,,,,,,,,,,,,,,,,,,
Employed Female Residents Aged 30 - 34 Years -> Others (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,
Includes Agricultural & Fishery Workers and Workers Not Elsewhere Classified.,,,,,,,,,,,,,,,,,,,,,,,,
Employed Female Residents Aged 35 - 39 Years -> Others (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,
Includes Agricultural & Fishery Workers and Workers Not Elsewhere Classified.,,,,,,,,,,,,,,,,,,,,,,,,
Employed Female Residents Aged 40 - 44 Years -> Others (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,
Includes Agricultural & Fishery Workers and Workers Not Elsewhere Classified.,,,,,,,,,,,,,,,,,,,,,,,,
Employed Female Residents Aged 45 - 49 Years -> Others (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,
Includes Agricultural & Fishery Workers and Workers Not Elsewhere Classified.,,,,,,,,,,,,,,,,,,,,,,,,
Employed Female Residents Aged 50 - 54 Years -> Others (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,
Includes Agricultural & Fishery Workers and Workers Not Elsewhere Classified.,,,,,,,,,,,,,,,,,,,,,,,,
Employed Female Residents Aged 55 - 59 Years -> Others (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,
Includes Agricultural & Fishery Workers and Workers Not Elsewhere Classified.,,,,,,,,,,,,,,,,,,,,,,,,
Employed Female Residents Aged 60 - 64 Years -> Others (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,
Includes Agricultural & Fishery Workers and Workers Not Elsewhere Classified.,,,,,,,,,,,,,,,,,,,,,,,,
Employed Female Residents Aged 65 Years & Over -> Others (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,
Includes Agricultural & Fishery Workers and Workers Not Elsewhere Classified.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Occupation:,,,,,,,,,,,,,,,,,,,,,,,,
"Occupation of a working person refers to the kind of work the person was doing during the reference period, which may not necessarily be related to his training, skill or professional qualification. In the case of a person who performs two or more kinds of work, his occupation would refer to the one in which he usually works the longest hours during the reference period. The Singapore Standard Occupational Classification (SSOC) is used to classify working persons by occupation. SSOC 2015 is used to classify the data from 2015 onwards. SS0C 2010 is used to classify working persons for the years 2010 and 2012/13. SSOC 2005 and SSOC 2000 are used to classify the data for the years 2005 and 2000 respectively.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 27/09/2025,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,
